rain,humid,storage,used ,flow ,discharge
0,998.1,4,3.29,3.18,High risk of flooding
0,998.7,3.99,3.28,2.62,Flooding risk
0.2,999.4,3.99,3.28,2.55,Flooding risk
0,999.8,3.99,3.28,2.55,Flooding risk
0,-999,3.99,3.28,2.55,Flooding risk
0,-999,3.99,3.28,2.55,Flooding risk
0,-999,3.99,3.28,2.47,Flooding risk
0,-999,3.96,3.25,2.44,Flooding risk
0,-999,3.95,3.24,1.87,Normal
0,-999,3.95,3.24,1.87,Normal
0,-999,3.95,3.24,1.87,Normal
0,-999,3.94,3.23,1.86,Normal
0,-999,3.94,3.23,1.86,Normal
0,-999,3.95,3.24,1.87,Normal
0,-999,3.95,3.24,1.87,Normal
0,1001.2,3.95,3.24,1.87,Normal
0,1001.1,3.94,3.23,1.86,Normal
0,1000.4,3.94,3.23,1.86,Normal
0,999.2,3.95,3.24,1.87,Normal
0,-999,3.95,3.24,1.87,Normal
0,996.8,3.94,3.23,1.86,Normal
0,996.1,3.94,3.23,1.86,Normal
0,995.9,3.94,3.23,1.72,Normal
0,995.9,3.86,3.15,0.59,No risk
0,996.3,3.86,3.15,0.59,No risk
0,997.1,3.86,3.15,0.59,No risk
0,997.7,3.86,3.15,0.59,No risk
0,998.1,3.86,3.15,0.59,No risk
0,-999,3.86,3.15,0.59,No risk
0,-999,3.86,3.15,0.59,No risk
0,-999,3.86,3.15,0.59,No risk
0,-999,3.86,3.15,0.59,No risk
0,-999,3.85,3.14,0.54,No risk
0,-999,3.85,3.14,0.54,No risk
0,-999,3.85,3.14,0.54,No risk
0,-999,3.85,3.14,0.54,No risk
0,-999,3.85,3.14,0.54,No risk
0,-999,3.82,3.11,0.24,No risk
0,999,3.82,3.11,0.24,No risk
0,999.2,3.82,3.11,0.24,No risk
0,998.9,3.82,3.11,0.24,No risk
0,998.2,3.82,3.11,0.24,No risk
0.2,996.8,3.82,3.11,0.24,No risk
0,-999,3.82,3.11,0.24,No risk
0,993.9,3.82,3.11,0.24,No risk
0,993.1,3.82,3.11,0.24,No risk
